hr,ra,dec,parallax
HR  2559,06 40 02.8908749352,-80 48 48.938483052,8.2827 
HR  2560,06 57 16.6052608,+58 25 21.940435,18.29 
HR  2561,06 57 13.1373376368,+57 33 47.830723344,3.1727 
HR  2562,06 50 01.0151260800,-60 14 56.921260776,29.4738 
HR  2563,06 51 32.5792423608,-48 17 33.913151880,4.4582 
HR  2564,06 54 38.6381476771,+13 10 40.243144636,33.9184 
HR  2565,06 53 18.8121844896,-19 01 57.699205248,11.0392 
HR  2566,06 53 21.8411163864,-18 55 58.230974460,8.1732 
HR  2567,06 53 00.2995535568,-26 57 27.477892368,4.2196 
HR  2568,06 56 32.0579741496,+46 16 26.395726332,3.4481 
HR  2569,06 55 18.6663587832,+25 22 32.503553004,57.4559 
HR  2570,06 54 08.59153,-05 51 07.8811,6.11 
HR  2571,06 53 32.9071871,-20 13 27.317715,2.68 
HR  2572,06 54 24.6514829592,-01 07 37.009187292,5.6524 
HR  2573,06 56 56.0497978104,+46 42 19.266875172,9.5558 
HR  2574,06 54 11.3988612864,-12 02 19.061163780,12.0676 
HR  2575,06 52 39.6240637104,-42 30 15.900266124,6.9899 
HR  2576,06 53 33.9425265992,-28 32 23.259823557,38.7983 
HR  2577,06 54 42.0425077248,-01 45 23.338676160,0.6284 
HR  2578,06 53 55.4527958808,-24 32 19.520733336,6.7993 
HR  2579,06 52 47.1369252768,-43 58 32.112532380,5.292 
HR  2580,06 54 07.9522701192,-24 11 03.159501504,1.2869 
HR  2581,07 01 21.4189944984,+70 48 29.863508724,6.3572 
HR  2582,06 54 58.9171473552,-02 48 12.922874748,3.6718 
HR  2583,06 54 13.0439608392,-23 55 42.023319852,0.6505 
HR  2584,06 55 34.6214787816,+08 19 27.447359016,10.5761 
HR  2585,06 57 37.1072168053,+45 05 38.738111994,14.4052 
HR  2586,06 57 00.5218308072,+33 40 51.743172648,7.4363 
HR  2587,06 52 47.0219126472,-54 05 25.208550996,1.7071 
HR  2588,06 55 02.7380042928,-20 24 17.557832160,5.4157 
HR  2589,06 56 25.8328341816,+09 57 23.665286016,4.6443 
HR  2590,06 55 37.4304387192,-20 08 11.388856308,33.5731 
HR  2591,06 54 26.6835568896,-42 21 56.058521256,1.7266 
HR  2592,06 52 45.4290623784,-59 20 28.214840940,5.9921 
HR  2593,06 56 06.6459193752,-14 02 36.351243780,3.4219 
HR  2594,06 54 02.2578727200,-50 36 41.758773696,18.1606 
HR  2595,06 55 46.9280647944,-22 56 29.193346032,1.5187 
HR  2596,06 56 08.2245944314,-17 03 15.259069948,0.9453 
HR  2597,06 57 25.5869338896,+11 54 27.197836920,0.7047 
HR  2598,06 55 54.7721641296,-31 47 24.646184556,3.0128 
HR  2599,06 57 00.0942794184,-08 10 45.479776692,2.8017 
HR  2600,06 59 02.8473250152,+38 03 08.346327696,5.8189 
HR  2601,06 58 47.4103324272,+26 04 51.886272900,21.9156 
HR  2602,06 51 26.9851666008,-70 57 48.277428300,5.6082 
HR  2603,06 57 14.7660679848,-22 12 10.316979972,1.0957 
HR  2604,06 56 45.7013982888,-35 20 28.804297812,4.9181 
HR  2605,06 59 27.9326561760,+25 54 50.987089260,3.3391 
HR  2606,06 58 38.9127459960,+07 37 20.268107148,12.9324 
HR  2607,06 57 33.9110232,-24 37 50.995377,26.36 
HR  2608,06 56 15.9899939,-48 43 16.125750,3.79 
HR  2609,07 40 30.4903485456,+87 01 12.378059472,6.1518 
HR  2610,06 58 57.0243821928,+03 36 08.480590020,4.2776 
HR  2611,06 57 42.6355923552,-27 32 15.039088116,2.6223 
HR  2612,06 57 17.58427,-35 30 25.7579,23.20 
HR  2613,06 59 20.1747458064,+07 19 01.080706836,3.223 
HR  2614,06 58 07.5533495,-27 09 51.781515,1.17 
HR  2615,07 00 15.8233724160,+16 04 44.385187008,0.7209 
HR  2616,06 58 35.8988362752,-25 24 50.953342860,2.8786 
HR  2617,07 05 51.6713815776,+70 43 54.930748908,2.8465 
HR  2618,06 58 37.54876,-28 58 19.5102,8.05 
HR  2619,06 58 25.0888739808,-34 06 42.084423864,5.5437 
HR  2620,07 01 17.0103346776,+32 24 52.505599572,7.7836 
HR  2621,06 58 43.6970349912,-30 59 52.929503196,4.0874 
HR  2622,07 00 18.0357115416,-05 22 01.780929120,33.425 
HR  2623,06 59 39.2558880792,-21 36 10.417390488,1.3392 
HR  2624,07 00 23.7565066728,-08 24 24.546626892,3.162 
HR  2625,07 00 08.2807638072,-20 09 30.328883388,2.9225 
HR  2626,06 58 41.7304810632,-45 46 03.411191532,7.9822 
HR  2627,07 00 39.3387913920,-09 12 10.678730292,0.4038 
HR  2628,07 00 19.3630898136,-22 07 08.610686220,0.7882 
HR  2629,07 01 41.4426938400,+04 49 05.142278676,1.0384 
HR  2630,07 02 24.7799925192,+24 12 55.606511880,3.5179 
HR  2631,07 02 25.5338725944,+17 45 19.870531524,4.1788 
HR  2632,07 02 17.4939988560,+15 20 09.635363196,5.51 
HR  2633,07 01 55.2600175944,+05 33 25.752763980,1.2329 
HR  2634,06 58 39.7431520752,-55 43 44.844463380,11.2894 
HR  2635,07 02 33.2872887024,+16 40 28.002851220,1.9018 
HR  2636,07 01 52.9167104184,-01 20 45.179397744,5.9565 
HR  2637,07 00 42.5122832016,-28 29 22.466486652,14.2433 
HR  2638,06 58 36.3689613120,-56 23 41.448470064,10.9493 
HR  2639,07 01 56.3836120368,-05 43 19.427271456,3.6785 
HR  2640,07 01 05.9462635320,-25 12 56.281710060,2.1591 
HR  2641,07 00 49.7485710792,-33 27 55.898355528,8.5189 
HR  2642,07 06 01.2363970680,+59 48 06.663464172,8.8042 
HR  2643,07 03 30.4592307736,+29 20 13.493121298,52.7712 
HR  2644,07 05 39.7978319253,+52 45 30.771351258,9.9156 
HR  2645,07 05 08.9888046480,+47 46 30.150206076,2.3832 
HR  2646,07 01 43.1477846,-27 56 05.389774,2.91 
HR  2647,07 03 17.9142304872,+09 08 18.088217988,12.6814 
HR  2648,07 02 54.7766724,-04 14 21.237679,2.68 
HR  2649,07 03 38.0718821136,+10 57 06.543534168,5.5106 
HR  2650,07 04 06.5312384690,+20 34 13.074474962,3.0729 
HR  2651,07 03 51.5987183472,+12 35 39.273137700,2.4834 
HR  2652,07 00 51.4852321368,-51 24 09.309494916,4.3905 
HR  2653,07 03 01.4721150,-23 49 59.852308,1.18 
HR  2654,07 04 20.1743071080,+01 29 18.565226592,3.3728 
HR  2655,07 04 05.2473368784,-05 19 26.310525492,1.9954 
HR  2656,07 03 57.4561654488,-10 07 25.552989084,1.7258 
HR  2657,07 03 45.4930485,-15 37 59.829971,7.38 
HR  2658,07 02 15.4778542536,-43 24 13.964629536,8.0176 
HR  2659,07 05 18.3688971240,+22 38 14.849711376,7.0322 
HR  2660,07 06 11.5917643416,+34 28 26.284245888,9.9493 
HR  2661,07 01 05.1137451768,-58 56 23.774385156,18.4283 
HR  2662,06 59 50.5350748656,-67 54 59.200292484,10.5936 
HR  2663,07 05 39.0254714880,+09 11 08.846486736,4.6749 
HR  2664,07 04 47.0513504040,-22 01 54.075708876,9.7193 
HR  2665,07 07 22.3986015264,+34 00 33.439798512,3.8255 
HR  2666,07 04 02.7926484400,-42 20 14.232086067,10.7379 
HR  2667,07 03 57.3152216292,-43 36 28.925859669,58.6192 
HR  2668,07 03 58.9212523543,-43 36 40.873487765,58.6179 
HR  2669,07 07 24.8782913688,+28 10 36.113605644,4.23 
HR  2670,07 05 49.6395658880,-10 39 36.289526897,0.9091 
HR  2671,07 07 21.2705134872,+22 42 12.747215448,1.1795 
HR  2672,07 03 53.6021248032,-49 35 02.179401108,16.2073 
HR  2673,07 08 13.2722974296,+33 49 56.602054488,4.91 
HR  2674,07 03 15.09928,-59 10 41.1857,6.61 
HR  2675,07 08 36.2421702192,+37 26 42.349724304,3.9762 
HR  2676,07 07 06.4712319600,+04 54 38.091397320,4.4509 
HR  2677,07 05 32.01945,-34 46 39.7145,18.71 
HR  2678,07 06 40.76672,-11 17 38.4396,1.07 
HR  2679,07 06 35.9651934840,-12 23 38.220633600,0.8668 
HR  2680,07 06 00.4870832880,-30 39 20.558813760,3.3292 
HR  2681,07 13 58.0368972000,+71 48 59.706825516,7.5517 
HR  2682,07 07 49.4889933096,+07 28 16.373011404,5.427 
HR  2683,07 04 18.3094021056,-56 44 58.928100288,10.3632 
HR  2684,07 08 22.0395145056,+15 55 50.435823072,10.7433 
HR  2685,07 06 02.2678794048,-38 22 58.312980408,4.5848 
HR  2686,07 06 52.4727896616,-24 57 38.087174592,2.8952 
HR  2687,07 05 16.3696492128,-50 21 36.139876380,3.436 
HR  2688,07 06 59.9877926760,-26 39 24.328389924,1.15 
HR  2689,06 56 34.4743439016,-79 25 12.691763616,8.4632 
HR  2690,07 07 22.5873962184,-23 50 26.573827884,1.3486 
HR  2691,07 07 07.0777710552,-40 53 35.770233300,4.5288 
HR  2692,07 10 06.6783240554,+21 14 49.142081431,22.8738 
HR  2693,07 08 23.4840514,-26 23 35.518484,2.03 
HR  2694,07 09 20.2493151288,-10 20 47.635088964,0.7238 
HR  2695,07 08 49.4015520624,-24 02 37.666620564,1.2752 
HR  2696,07 11 39.3265259952,+39 19 13.981218528,7.6144 
HR  2697,07 11 08.3703137689,+30 14 42.589571474,8.3261 
HR  2698,07 07 13.2812635560,-51 58 05.785273560,5.4515 
HR  2699,07 09 33.3632699976,-16 14 04.233013116,0.7036 
HR  2700,07 11 23.0673239256,+26 51 23.720381136,8.7883 
HR  2701,07 10 13.6815026472,-04 14 13.585055244,16.811 
HR  2702,07 08 51.0682638,-39 39 20.357948,4.48 
HR  2703,07 13 23.3996704176,+51 25 43.481320932,4.4893 
HR  2704,07 09 43.0236591312,-25 13 51.720958452,1.5724 
HR  2705,07 10 09.3677387448,-18 41 08.306133720,22.2663 
HR  2706,07 12 26.3762241744,+24 07 42.938002164,9.2055 
HR  2707,07 11 23.6158572888,-00 18 06.945136848,11.432 
HR  2708,07 10 19.3207717608,-27 29 29.468963904,4.9959 
HR  2709,07 25 21.9367663008,+81 15 26.891719452,4.2857 
HR  2710,07 11 51.3830081880,+05 39 16.930890576,4.7069 
HR  2711,07 12 49.08903,+27 13 29.3970,23.54 
HR  2712,07 06 14.3130238200,-68 50 15.292967280,6.4247 
HR  2713,07 12 07.4919067680,+05 28 27.646689036,4.8875 
HR  2714,07 11 51.8607792,-00 29 33.970825,8.49 
HR  2715,07 15 54.9036680448,+59 38 14.879169348,16.596 
HR  2716,07 11 41.6047750416,-20 52 59.019578364,6.4637 
HR  2717,07 13 22.2758350560,+16 09 32.271188148,5.031 
HR  2718,07 12 12.2147085456,-25 56 33.316082736,3.5923 
HR  2719,07 10 47.4827852712,-48 55 55.549614540,9.9274 
HR  2720,07 12 04.0892435496,-30 49 16.921310808,21.0623 
HR  2721,07 15 50.1391766472,+47 14 23.868404124,59.3408 
HR  2722,07 14 26.5495257240,+24 42 40.083848136,4.397 
HR  2723,07 13 07.1941661040,-11 15 04.831967484,4.2671 
HR  2724,07 12 24.1755366696,-27 28 29.120142828,4.7238 
HR  2725,07 14 41.9782633320,+24 53 05.943460668,8.2499 
HR  2726,07 12 25.82296,-36 32 39.7835,3.59 
HR  2727,07 12 15.8070021456,-40 29 55.755380940,7.5641 
HR  2728,07 14 32.6208643272,+12 06 56.966505516,9.892 
HR  2729,07 14 20.0627366016,+03 06 41.102149896,4.2151 
HR  2730,07 13 24.0250266288,-22 40 27.269874372,4.3923 
HR  2731,07 14 10.8500851992,-03 54 06.401226168,3.7036 
HR  2732,07 14 15.5193344904,-09 56 51.118493424,1.4158 
HR  2733,07 13 48.3850605552,-22 54 20.800783152,1.389 
HR  2734,07 13 36.4494556488,-27 21 22.891993452,1.4987 
HR  2735,07 08 42.3702708288,-70 29 49.526709864,22.7501 
HR  2736,07 08 44.8656955896,-70 29 56.149447560,24.4775 
HR  2737,07 17 33.7184690424,+52 07 51.842502192,6.3708 
HR  2738,07 15 57.1671252720,+27 53 50.715517704,4.0783 
HR  2739,07 14 28.2529558464,-10 18 58.483822572,1.075 
HR  2740,07 12 33.6251363845,-46 45 33.496585918,46.9031 
HR  2741,07 13 47.2316841096,-31 05 01.080271104,1.9379 
HR  2742,07 31 04.4677275984,+82 24 41.281519392,6.5549 
HR  2743,07 13 57.3376931712,-30 20 23.252002440,1.7077 
HR  2744,07 15 19.4071859184,-00 09 40.624369776,6.1629 
HR  2745,07 14 15.2119175,-26 21 09.031206,1.88 
HR  2746,07 13 13.3506005472,-45 10 57.855357732,17.3622 
HR  2747,07 15 39.4294450080,+07 58 39.877367628,5.7896 
HR  2748,07 13 32.3185436236,-44 38 22.951891964,17.7906 
HR  2749,07 14 48.6538664,-26 46 21.609714,3.58 
HR  2750,07 14 51.1612101384,-27 02 16.782659232,12.1774 
HR  2751,07 18 31.9772854248,+49 27 53.120846160,8.46 
HR  2752,07 15 43.2416664048,-10 35 00.970306008,7.2876 
HR  2753,07 18 02.2145047608,+40 53 00.217160340,10.5189 
HR  2754,07 12 01.97968,-63 11 24.2109,6.77 
HR  2755,07 15 47.2965917520,-23 44 24.996263820,3.5798 
HR  2756,07 15 21.0681331056,-30 41 11.217833988,4.7717 
HR  2757,07 18 04.0915302888,+30 57 21.140289288,4.8495 
HR  2758,07 16 14.5526564520,-15 35 08.486158380,12.9537 
HR  2759,07 14 57.1530985824,-41 25 35.021185104,5.6468 
HR  2760,07 17 17.7939929280,+06 40 51.514118544,3.0088 
HR  2761,07 14 46.0175443680,-46 50 58.816741128,7.3687 
HR  2762,07 14 38.1406186,-48 16 18.942036,8.66 
HR  2763,07 18 05.5789195368,+16 32 25.389581244,32.6068 
HR  2764,07 16 36.8345570496,-23 18 56.138269860,1.2155 
HR  2765,07 17 31.6625664576,-06 40 47.981587152,2.5494 
HR  2766,07 16 34.9928126880,-27 52 52.244563692,7.6228 
HR  2767,07 15 21.2261303976,-52 29 57.207006024,7.8477 
HR  2768,07 16 57.2161411272,-30 53 49.236708804,7.1226 
HR  2769,07 16 31.8498254424,-38 19 08.120651916,3.5757 
HR  2770,07 16 49.4082241536,-36 35 33.478464732,3.5295 
HR  2771,07 16 15.4731774576,-46 46 28.319636028,4.1499 
HR  2772,07 22 17.1847964400,+59 54 07.187934384,13.4513 
HR  2773,07 17 08.55678,-37 05 50.8962,4.04 
HR  2774,07 17 48.0117200664,-26 47 51.208266984,3.5444 
HR  2775,07 21 03.0986045064,+42 39 21.285174708,3.5579 
HR  2776,07 21 17.4996742032,+45 13 41.437298928,26.9855 
HR  2777,07 20 07.3745658105,+21 58 56.294578663,53.7692 
HR  2778,07 19 22.3744027416,+02 44 26.433851424,4.4215 
HR  2779,07 19 47.6453421912,+07 08 34.611898560,18.4881 
HR  2780,07 20 06.8419166232,+15 08 34.542893544,3.4696 
HR  2781,07 18 40.3789353696,-24 33 31.318248528,0.8549 
HR  2782,07 18 42.4864191,-24 57 15.741299,1.09 
HR  2783,07 22 50.8494933024,+55 17 03.549766308,4.9779 
HR  2784,07 22 52.0583392848,+55 16 53.017263336,5.114 
HR  2785,07 19 01.9205824872,-19 16 49.101947436,0.345 
HR  2786,07 18 51.2737383648,-26 35 09.081112236,1.881 
HR  2787,07 18 18.3933493,-36 44 02.232922,4.06 
HR  2788,07 19 28.1785241208,-16 23 42.895279824,23.1638 
HR  2789,07 18 04.2493205712,-43 59 12.428835180,5.1842 
HR  2790,07 18 38.1853955232,-36 44 33.854932104,2.9923 
HR  2791,07 18 33.5125134936,-39 12 37.023109992,7.3579 
HR  2792,07 22 13.4077840776,+38 59 45.320180892,5.69 
HR  2793,07 22 02.6176036752,+36 45 38.100968820,12.6451 
HR  2794,07 19 13.6844804904,-33 43 37.789533624,4.305 
HR  2795,07 21 56.8617906336,+20 26 37.169276928,7.6812 
HR  2796,07 20 58.2849964992,-14 21 37.764717732,5.363 
HR  2797,07 34 39.8034050640,+80 53 48.110821728,3.8485 
HR  2798,07 21 16.8135695856,-08 52 40.081627668,30.243 
HR  2799,07 20 53.0890997568,-22 51 01.550042172,2.375 
HR  2800,07 20 54.9153770208,-26 57 49.812490368,1.5391 
HR  2801,07 22 03.4786871760,+00 10 37.637998896,1.8329 
HR  2802,07 21 04.3320754008,-25 53 29.921713404,4.6281 
HR  2803,07 16 49.8238716,-67 57 25.748362,4.42 
HR  2804,07 24 57.0851293416,+51 53 14.131109328,3.2666 
HR  2805,07 24 08.4675588912,+40 40 20.599881492,3.2175 
HR  2806,07 22 02.0546074728,-08 58 45.766323408,0.8968 
HR  2807,07 22 18.5905173672,-02 58 44.863244724,5.9453 
HR  2808,07 23 28.5112982760,+25 03 01.912620384,18.1774 
HR  2809,07 27 25.8372841224,+66 19 53.656257252,4.3044 
HR  2810,07 23 28.1369662512,+22 56 43.253266056,9.8161 
HR  2811,07 22 25.3899278880,-05 58 58.184091120,3.8939 
HR  2812,07 22 13.5290106,-19 00 59.764599,6.78 
HR  2813,07 20 21.4227852720,-52 18 41.490780084,28.634 
HR  2814,07 20 21.8571327864,-52 18 33.278579208,29.4762 
HR  2815,07 20 38.8057732104,-52 05 09.320821944,6.2646 
HR  2816,07 24 33.4531218504,+27 38 16.281508164,14.9819 
HR  2817,07 24 27.6487438296,+15 31 01.908288624,2.2123 
HR  2818,07 26 42.8522129445,+49 12 41.497452754,11.9021 
HR  2819,07 23 00.6973567920,-31 55 25.602435120,2.5257 
HR  2820,07 24 58.1800202736,+11 40 10.282487304,10.9796 
HR  2821,07 25 43.5956409143,+27 47 53.086950407,24.0201 
HR  2822,07 23 28.9926186576,-27 50 03.461397576,4.7843 
HR  2823,07 23 31.8950856528,-32 12 07.436095704,2.5396 
HR  2824,07 23 54.4330933464,-30 13 01.243270092,1.8844 
HR  2825,07 24 40.1873324160,-16 12 05.302248804,3.2782 
HR  2826,07 24 17.2339516704,-22 54 45.924912504,4.6681 
HR  2827,07 24 05.70228,-29 18 11.1798,1.64 
HR  2828,07 25 38.8996839840,+09 16 33.925520604,3.9908 
HR  2829,07 23 58.3372388400,-35 50 16.213001964,4.4519 
HR  2830,07 30 52.6646699448,+68 27 56.327018904,6.9858 
HR  2831,07 24 50.8826959368,-19 00 44.219184732,0.3167 
HR  2832,07 25 08.3153856744,-13 45 07.117163244,26.8143 
HR  2833,07 25 51.1999347000,-05 46 29.862957504,1.7289 
HR  2834,07 24 43.8541565621,-31 48 32.057079848,5.1382 
HR  2835,07 26 50.2570417275,+21 32 08.355498800,32.6803 
HR  2836,07 26 27.7864725960,+10 36 29.043707220,11.4841 
HR  2837,07 26 56.3284417224,+20 15 27.197178912,7.4357 
HR  2838,07 26 03.3869305824,-04 32 14.612685396,4.7312 
HR  2839,07 25 19.9743544248,-21 58 57.321997680,0.6759 
HR  2840,07 26 41.2128869328,+11 00 31.837209984,2.5718 
HR  2841,07 25 25.2677568912,-25 13 03.954312840,2.2329 
HR  2842,07 24 47.0033480232,-37 17 22.871401368,5.5305 
HR  2843,07 24 47.3554374936,-37 17 28.298548752,5.5029 
HR  2844,07 28 51.4870582200,+48 11 02.180139576,5.4038 
HR  2845,07 27 09.0417373,+08 17 21.536745,20.17 
HR  2846,07 27 44.3573297448,+21 26 43.004490108,30.8067 
HR  2847,07 25 42.9801153624,-31 44 19.397810364,2.4431 
HR  2848,06 46 58.5757223064,-87 01 29.868628728,25.8076 
HR  2849,07 29 55.9571717856,+49 40 20.853841260,49.0145 
HR  2850,07 26 40.6862558352,-23 42 45.401018076,3.2933 
HR  2851,07 28 02.0748456576,+06 56 31.094187504,10.2172 
HR  2852,07 29 06.71887,+31 47 04.3773,55.41 
HR  2853,07 27 07.9899122714,-17 51 53.509236231,11.1127 
HR  2854,07 28 09.7942869528,+08 55 31.888128216,3.134 
HR  2855,07 26 59.4826856664,-23 05 09.689679528,1.7919 
HR  2856,07 26 42.4656369864,-34 08 26.499461784,2.964 
HR  2857,07 29 20.4408416688,+28 07 05.794678236,18.5038 
HR  2858,07 28 47.2558472952,+15 06 35.365121100,3.9077 
HR  2859,07 27 51.6595041678,-11 33 24.678706885,1.7790 
HR  2860,07 27 42.9367354488,-22 51 33.085990656,2.7588 
HR  2861,07 29 48.7619004480,+27 54 58.033303380,7.718 
HR  2862,07 26 21.8498874360,-51 01 06.530504628,5.3716 
HR  2863,07 27 59.1598818816,-29 09 21.235356792,4.4194 
HR  2864,07 29 47.7817252,+12 00 23.634733,5.70 
HR  2865,07 29 18.6680646240,-01 54 19.171482948,3.99 
HR  2866,07 29 25.6609863875,-07 33 04.450065996,33.6335 
HR  2867,07 29 22.1075281680,-10 19 36.000227748,2.6344 
HR  2868,07 29 21.86341,-14 59 55.1610,28.50 
HR  2869,07 28 22.9803140544,-37 48 36.463954284,8.0252 
HR  2870,07 28 51.1532304407,-31 50 54.225300451,2.8052 
HR  2871,07 28 51.7177216872,-31 50 48.922343160,2.7278 
HR  2872,07 31 55.6337704992,+38 53 45.837762216,11.28 
HR  2873,07 29 04.9147536024,-31 27 22.384517904,2.9027 
HR  2874,07 29 51.4122982920,-23 01 27.444741492,0.7535 
HR  2875,07 29 05.6951953008,-38 48 43.442359164,5.0843 
HR  2876,07 30 51.1340417688,-05 13 35.376106260,1.7628 
HR  2877,07 31 48.4045109592,+17 05 09.764723724,11.3298 
HR  2878,07 29 13.8326369825,-43 18 05.167418899,17.0234 
HR  2879,07 32 50.6292114984,+22 53 15.360210528,5.1158 
HR  2880,07 32 05.9488273416,+01 54 52.126832700,3.9896 
HR  2881,07 30 42.6019759200,-30 57 44.209928016,2.3999 
HR  2882,07 30 42.5117581608,-37 20 21.706958688,45.9738 
HR  2883,07 32 05.7629164512,-08 52 52.775251032,34.8832 
HR  2884,07 29 59.7226034784,-52 39 04.164546672,9.236 
HR  2885,07 31 25.7672234592,-36 09 11.730166380,3.5979 
HR  2886,07 33 36.4815791,+15 49 35.978923,7.70 
HR  2887,07 33 11.6657432976,+03 17 25.365062508,23.1488 
HR  2888,07 28 51.4078017816,-64 30 35.300651328,4.419 
HR  2889,07 31 42.7019603976,-35 53 16.151564904,4.447 
HR  2890,07 34 36.100452,+31 53 18.57117,~ 
HR  2891,07 34 35.862828,+31 53 17.79429,~ 
HR  2892,07 30 30.9186521808,-54 23 57.713571348,6.5671 
HR  2893,07 34 04.9635986256,+10 34 05.070670392,8.6783 
HR  2894,07 36 47.0350608048,+55 45 18.225179028,11.7198 
HR  2895,07 32 22.2717449,-35 57 40.277462,5.09 
HR  2896,07 35 08.8032282360,+30 57 39.304643436,7.912 
HR  2897,07 33 22.1853581952,-14 20 17.902042980,0.8764 
HR  2898,07 35 55.97410,+43 01 51.4501,7.11 
HR  2899,07 33 19.5646164336,-19 24 45.092391408,10.9801 
HR  2900,07 33 09.7759152384,-24 42 38.643307200,10.6424 
HR  2901,07 34 15.8926031424,+03 22 18.207554880,4.603 
HR  2902,07 33 47.9667844248,-14 31 26.054356260,1.3538 
HR  2903,07 36 31.6344797328,+46 10 49.031857848,5.5345 
HR  2904,07 34 46.2099221256,+02 43 31.776855600,6.4089 
HR  2905,07 35 55.3500141720,+26 53 44.680194960,12.8761 
HR  2906,07 34 03.1805638968,-22 17 45.843172440,38.1379 
HR  2907,07 33 13.1584108872,-40 03 30.677621292,4.41 
HR  2908,07 33 13.3245900216,-43 05 10.316010372,6.6985 
HR  2909,07 34 18.6176573688,-23 28 25.192762896,32.7467 
HR  2910,07 34 19.2571325568,-23 28 29.630454852,32.7919 
HR  2911,07 33 51.0415389912,-36 20 18.212736408,2.5769 
HR  2912,07 34 28.8413984328,-26 07 00.672332484,9.1364 
HR  2913,07 34 12.8261076192,-33 27 48.345318828,12.1257 
HR  2914,07 37 53.8487778744,+48 46 25.835752740,12.33 
HR  2915,07 37 17.7914128728,+40 01 31.347536772,3.9783 
HR  2916,07 34 34.7947496856,-27 00 44.190603936,9.8405 
HR  2917,07 33 58.2822672096,-39 54 20.764217880,5.7724 
HR  2918,07 36 34.7058306168,+05 51 43.818971508,24.0803 
HR  2919,07 25 38.0987484384,-79 05 39.087811716,7.1874 
HR  2920,07 36 16.6963060656,-08 18 40.686084720,4.2196 
HR  2921,07 36 03.8931067344,-14 29 33.978895368,2.0401 
HR  2922,07 35 22.8916201248,-28 22 09.605230968,13.6185 
HR  2923,07 36 07.4118929880,-22 09 37.815648768,4.8071 
HR  2924,07 38 32.8639164696,+35 02 54.779445240,9.9583 
HR  2925,07 34 39.5796010056,-51 28 28.260765048,2.4551 
HR  2926,07 38 14.3693204256,+24 21 37.595759904,21.2706 
HR  2927,07 37 16.6910262168,-04 06 39.533872608,15.7974 
HR  2928,07 36 41.0352383592,-19 42 08.425020168,1.5724 
HR  2929,07 40 49.5488160216,+57 04 58.180271376,4.272 
HR  2930,07 39 09.9346623336,+34 35 03.502791096,19.3338 
HR  2931,07 39 12.0050990376,+24 13 21.110383956,6.9694 
HR  2932,07 37 38.8009023960,-14 26 26.745164412,2.1469 
HR  2933,07 37 16.9304997768,-23 46 31.431935208,0.5937 
HR  2934,07 35 39.7223031408,-52 32 01.809116484,7.8078 
HR  2935,07 40 14.6930840928,+38 20 40.347143196,3.24 
HR  2936,07 39 54.0948913920,+32 00 35.034156612,9.2845 
HR  2937,07 37 22.10978,-34 58 06.7109,9.05 
HR  2938,07 39 28.5933680280,+17 40 28.278616584,5.1083 
HR  2939,07 41 12.3988912440,+48 07 53.517714420,9.4468 
HR  2940,07 36 43.9200776760,-48 49 48.597675348,6.971 
HR  2941,07 36 01.6044493464,-55 53 15.750461148,4.959 
HR  2942,07 37 44.7964135896,-35 16 37.752581424,4.0112 
HR  2943,07 39 18.11950,+05 13 29.9552,284.56 
HR  2944,07 38 18.0458562428,-25 21 53.300773235,4.8542 
